Company Name,Job Title,Job Location,Job Description
corporate_fareGoogle,"Digital Business Marketing Apprenticeship, March 2025 Start (English)","Hyderabad, Telangana, India, ; Gurugram, Haryana, India, Hyderabad, Telangana, India, ; Gurugram, Haryana, India","Bachelor's degree or equivalent practical experience.
Maximum 1 year of experience in a Digital Business Marketing role post graduation.
Experience with using Google Workspace (e.g., Gmail, Chrome, Docs, Sheets, etc.) or similar applications.
Ability to communicate in English fluently, to understand and execute instructions and learn via training documentations and presentations."
corporate_fareGoogle,"Administrative Business Partner, Cloud AppEco","Hyderabad, Telangana, India, ; Bangalore, Karnataka, India, Hyderabad, Telangana, India, ; Bangalore, Karnataka, India","2 years of experience experience in a high-tech or international environment working on core administrative tasks (e.g., travel management, expense reports, calendar management, facilities coordination, etc)."
corporate_fareGoogle,Google Experience Operations Manager,"Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience.
10 years of experience in HR, operations, process improvement, or relevant field."
corporate_fareGoogle,"Senior Staff Software Engineer, Google Cloud","Hyderabad, Telangana, India, ; Bengaluru, Karnataka, India, Hyderabad, Telangana, India, ; Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience.
8 years of experience in software development, and with data structures/algorithms.
5 years of experience with design and architecture; and testing/launching software products."
corporate_fareGoogle,HR Compliance Manager,"Bengaluru, Karnataka, India, ; Hyderabad, Telangana, India, Bengaluru, Karnataka, India, ; Hyderabad, Telangana, India","Bachelor's degree or equivalent practical experience.
10 years of experience in Human Resources Compliance Management.
Experience in practicing Indian employment laws."
corporate_fareGoogle,"UX Researcher, Quality, Search","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Human-Computer Interaction, Cognitive Science, Statistics, Psychology, Anthropology, related field, or equivalent practical experience.
4 years of experience in an applied research setting, or similar.
Experience with research design utilizing various methods (e.g., usability studies, contextual inquiry, surveys, etc.).
Experience with product research in a usability or generative setting."
corporate_fareGoogle,"Anti-Money Laundering Specialist, Payments Compliance","Gurugram, Haryana, India, Gurugram, Haryana, India","Bachelor's degree in Business, Finance, Legal, or a related field, or equivalent practical experience.
2 years of experience in regulatory compliance with a specialisation in KYC/AML monitoring.
Experience in KYC onboarding checks and due diligence, AML Transaction Monitoring and regulatory reporting requirements including filing of STR."
corporate_fareGoogle,"Senior Embedded Software Engineering Manager, Silicon Software","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Electrical/Electronics Engineering, Computer Engineering, Computer Science, or equivalent practical experience.
10 years of experience with System on a Chip (SoC)/IP architecture and validation, embedded silicon software, system definition and implementation.
8 years of experience in people management developing employees.
Experience with SoC product life-cycle, tools, processes, and operations planning."
corporate_fareGoogle,Business Operations Analyst,"Gurugram, Haryana, India, ; Hyderabad, Telangana, India, Gurugram, Haryana, India, ; Hyderabad, Telangana, India","Bachelor's degree or equivalent practical experience.
4 years of experience in management consulting, sales operations, business strategy."
corporate_fareYouTube,"Test Engineering Manager, YouTube","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience.
8 years of experience in coding, developing test methodologies, writing test plans, creating test cases, and debugging.
3 years of experience in automated testing and test automation tools."
corporate_fareGoogle,"Media lead, Marketing","Gurugram, Haryana, India, Gurugram, Haryana, India","Bachelor's degree or equivalent practical experience.
9 years of experience in (growth, performance, direct response, social, digital, cloud, events, etc.) marketing.
1 year of experience in people management.
Experience working cross-functionally with various stakeholders and teams."
corporate_fareGoogle,Internal Controls and Compliance Analyst,"Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Business, Finance, Accounting, or equivalent practical experience.
4 years of experience in audit, consulting or a related industry including non-traditional audit such as use of data analytics and integration with accounting/business.
Experience in leading projects and identifying process improvements.
Experience in process, system, or automation."
corporate_fareGoogle,"Product Solutions Engineer, Payments Platform","Hyderabad, Telangana, India, Hyderabad, Telangana, India","Bachelorâ€™s degree in Computer Science or equivalent practical experience.
4 years of experience coding with one or more programming languages (e.g., Java, C/C++, Python).
4 years of experience working with web technologies (e.g., HTML, CSS, JavaScript, HTTP, etc.).
Experience in technical troubleshooting, and managing internal/external partners or customers."
corporate_fareGoogle,"Program Manager, Regulatory Audits","Gurugram, Haryana, India, ; Bengaluru, Karnataka, India, Gurugram, Haryana, India, ; Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience.
5 years of experience with project or program management.
Experience working with external auditors or regulators."
corporate_fareGoogle,"Senior Product Manager, Search Platforms","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","9 years of experience in product management within consumer products or SaaS developer platforms.
Experience creating product roadmaps from conception to launch, driving the product vision, defining go-to-market strategy, and leading design discussions."
corporate_fareYouTube,"Business Analyst, Trust and Safety, YouTube","Hyderabad, Telangana, India, Hyderabad, Telangana, India","Bachelor's degree in Mathematics, Physics, Statistics, Computer Science, Engineering, Economics, Operations Research, Bioinformatics, Computational Biology, a related quantitative field, or equivalent practical experience.
1 year of experience working in data analytics, consulting, data science, engineering, or a technical operations role.
1 year of experience in statistical problem-solving and analyzing data sets using SQL or comparable coding language (e.g., Python, R, Java, C++)."
corporate_fareGoogle,"Silicon Design Verification Engineer, TPU, Google Cloud","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Electrical Engineering or equivalent practical experience.
4 years of experience with verification methodology such as Universal verification methodology (UVM).
2 years of experience in the verification of IP designs such as IP, SoC, vector CPUs, etc.
Experience with SystemVerilog, SVA, and functional coverage."
corporate_fareGoogle,"ASIC Design For Testability Engineer, Silicon","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Computer Science, Electronics or Electrical Engineering, or equivalent practical experience.
2 years of experience in design for testability.
Experience with ATPG, Low Power designs, Built-In Self Test (BIST), Joint Test Action Group (JTAG), Internal Joint Test Action Group (IJTAG) tools and flow.
Experience with DFT EDA Too Tessent."
corporate_fareGoogle,"Campus Security Manager, Security and Resilience Operations","Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience.
5 years of experience managing security operations."
corporate_fareGoogle,Senior Finance Operations Manager,"Bengaluru, Karnataka, India, Bengaluru, Karnataka, India","Bachelor's degree in Business, Finance, Engineering, Operations, or equivalent practical experience.
14 years of experience in management consulting, an operations-related function, or equivalent field; or 12 years with an advanced degree in business, finance, or accounting.
5 years of experience directly leading a team."
